,,"Mots d'ordre et résultats par parti depuis la 46ème législature à la 50ème (1999-2019) (Les votations commencent début 2000, la légilature commençant en décembre 1999)",,,,,,,,,,,,,,,,,,
,Sujets de votations,oui en %,non en %,Résultat CH,PLR CH,Gagné/perdu CH,PS CH,Gagné/perdu CH,PDC CH,Gagné/perdu CH,UDC CH,Gagné/perdu CH,PVL CH,Gagné/perdu CH,PBD CH,Gagné/perdu CH,Verts CH,Gagné/perdu CH,Conseil fédéral,Gagné/perdu CH
,Loi fédérale sur l'assurance-vieillesse et survivants (11e révision de l'AVS),"32,1%","67,9%",non,oui,perdu,non,gagné,oui,perdu,oui,perdu,,,,,non,gagné,oui,perdu
,Arrêté fédéral sur le financement de l'AVS/AI par le biai d'un relèvement de la taxe sur la valeur ajoutée,"31,4%","68,6%",non,non,gagné,oui,perdu,oui,perdu,non,gagné,,,,,oui,perdu,oui,perdu
,"Loi fédérale sur la modification d'actes  concernant l'imposition du couple et de la famille, l'imposition du logement et les droits de timbre","34,1%","65,9%",non,oui,perdu,non,gagné,oui,perdu,oui,perdu,,,,,non,gagné,oui,perdu
,Arrêté fédéral sur la naturalisation ordinaire et sur la naturalisation facilitée des jeunes étrangers de deuxième génération,"43,2%","56,8%",non,oui,perdu,oui,perdu,oui,perdu,non,gagné,,,,,oui,perdu,oui,perdu
,Arrêté fédéral sur l'acquisition de la nationalité par les étrangers de troisième génération,"48,4%","51,6%",non,oui,perdu,oui,perdu,oui,perdu,non,gagné,,,,,oui,perdu,oui,perdu
,"Initiative ""Services postaux pour tous""","49,8%","50,2%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,"Loi fédérale sur le régime des allocations pour perte de gain en faveur des personnes servant dans l'armée, dans le service civil ou dans la protection civile (Loi sur les allocations pour pertes de gain, LAPG)","55,5%","44,5%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,,,,,oui,gagné,oui,gagné
,Arrêté fédéral concernant la réforme de la péréquation financière et de la répartition des tâches entre la Confédération et les cantons (RPT),"64,4%","35,6%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,,,,,non,perdu,oui,gagné
,Arrêté fédéral sur un nouveau régime financier,"73,8%","26,2%",oui,oui,gagné,oui,gagné,oui,gagné,oui,gagné,,,,,oui,gagné,oui,gagné
,Loi fédérale sur la recherche sur les cellules souches embryonnaires,"66,4%","33,6%",oui,oui,gagné,oui,gagné,oui,gagné,oui,gagné,,,,,non,perdu,oui,gagné
2005,Arrêté fédéral portant approbation et mise en œuvre des accords bilatéraux d'association à l'Espace Schengen et à l'Espace Dublin,"54,6%","45,4%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,,,,,oui,gagné,oui,gagné
,"Loi fédéral sur le partenariat enregistré entre personnes du même sexe (Loi sur le partenariat, LPart)","58,0%","42,0%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,,,,,oui,gagné,oui,gagné
,Arrêté fédéral relatif à l'extension de l'accord sur la libre circulation des personnes aux nouveaux Etats membres de l'UE et à la révision des mesures d'accompagnement,"56,0%","44,0%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,,,,,oui,gagné,oui,gagné
,"Initiative ""Pour des aliments produits sans manipulations génétiques""","55,7%","44,3%",oui,non,perdu,oui,gagné,non,perdu,non,perdu,,,,,oui,gagné,non,perdu
,Loi sur le travail (Heures d'ouverture des commerces dans les centres de transports publics),"50,6%","49,4%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,,,,,non,perdu,oui,gagné
2006,Arrêté fédéral modifiant les articles de la Constitution sur la formation,"85,6%","14,4%",oui,oui,gagné,oui,gagné,oui,gagné,oui,gagné,,,,,oui,gagné,oui,gagné
,"Initiative ""Les bénéfices de la Banque nationale pour l'AVS""","41,7%","58,3%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,Loi fédérale sur les étrangers,"68,0%","32,0%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,,,,,non,perdu,oui,gagné
,Modification de la loi sur l'asile,"67,8%","32,2%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,,,,,non,perdu,oui,gagné
,Loi fédérale sur la coopération avec l'Europe de l'Est,"53,4%","46,6%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,,,,,oui,gagné,oui,gagné
,Loi fédérale sur les allocations familiales,"68,0%","32,0%",oui,non,perdu,oui,gagné,oui,gagné,non,perdu,,,,,oui,gagné,oui,gagné
2007,"Initiative ""Pour une caisse maladie unique et sociale""","28,8%","71,2%",non,non,gagné,oui,perdu,non,gagné,non,gagné,,,,,oui,perdu,non,gagné
,Loi fédérale sur l'assurance-invalidité,51.9*%,"40,9%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,,,,,non,perdu,oui,gagné
2008,"Initiative ""Contre le bruit des avions de combat à réaction dans les zones touristiques""","31,9%","68,1%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,,,oui,perdu,non,gagné
,Loi fédérale sur l'amélioration des conditions fiscales applicables aux activités entrepeneuriales et aux investissements,"50,5%","49,5%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,,,non,perdu,oui,gagné
,"Initiative ""Pour des naturalisations démocratiques""","36,2%","63,8%",non,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné,,,non,gagné,non,gagné
,"Initiative ""Pour une souverainté du peuple sans propagande gouvernementale""","24,8%","75,2%",non,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné,,,non,gagné,non,gagné
,"Article constitutionnel ""Qualité et efficacité économique dans l'assurance-maladie"" ","30,5%","69,5%",non,pas d'accord,perdu,non,gagné,non,gagné,oui,perdu,non,gagné,,,non,gagné,oui,perdu
,"Initiative ""Pour une imprescriptibilité des actes de pornographie enfantine""","51,9%","48,1%",oui,non,perdu,non,perdu,non,perdu,oui,gagné,non,perdu,non,perdu,non,perdu,non,perdu
,"Initiative ""Pour un âge de l'AVS flexible""","41,4%","58,6%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
,"Initiative ""Droit de recours des organisations: Assez d'obstructionnisme, plus de croissance pour la Suisse""","34,0%","66,0%",non,oui,perdu,non,gagné,non,gagné,oui,perdu,non,gagné,oui,perdu,non,gagné,non,gagné
,"Initiative ""Pour une politique raisonnable en matière de chanvre protégeant efficacement la jeunesse""","36,7%","63,3%",non,pas d'accord,perdu,oui,perdu,non,gagné,non,gagné,oui,perdu,non,gagné,oui,perdu,non,gagné
,Loi fédérale sur les stupéfiants et les substances psychotropes,"68,1%","31,9%",oui,pas d'accord,perdu,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné
2009,"Arrêté fédéral portant approbation de la reconduction de l’accord entre la Suisse et la Communauté européenne sur la libre circulation des personnes, ainsi qu’approbation du protocole visant à étendre l'accord à la Bulgarie et à la Roumanie","59,6%","40,4%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné
,Article constitutionnel «Pour la prise en compte des médecines complémentaires» (Contre-projet à l’initiative populaire «Oui aux médecines complémentaires»),"67,0%","33,0%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné
,Arrêté fédéral portant approbation et mise en oeuvre de l’échange de notes entre la Suisse et l’Union européenne concernant le Règlement relatif aux passeports biométriques et aux documents de voyage,"50,1%","49,9%",oui,oui,gagné,non,perdu,oui,gagné,non,perdu,liberté de vote,perdu,oui,gagné,non,perdu,oui,gagné
,Arrêté fédéral relatif au financement additionnel de l'AI par un relèvement temporaire des taux de la TVA,"54,6%","45,4%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné
,Arrêté fédéral portant suppression de l'initiative populaire générale,"67,9%","32,1%",oui,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné,oui,gagné
,Arrêté fédéral sur la création d'un financement spécial en faveur de tâches dans le domaine du trafic aérien,"65,0%","35,0%",oui,oui,gagné,liberté de vote,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné
,Initiative «Pour l'interdiction d'exporter du matériel de guerre»,"31,8%","68,2%",non,non,gagné,oui,perdu,non,gagné,non,gagné,liberté de vote,perdu,non,gagné,oui,perdu,non,gagné
,Initiative «Contre la construction de minarets»,"57,5%","42,5%",oui,non,perdu,non,perdu,non,perdu,oui,gagné,non,perdu,non,perdu,non,perdu,non,perdu
2010,Article constitutionnel concernant la recherche sur l'être humain,"77,2%","22,2%",oui,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné,oui,gagné,liberté de vote,perdu,oui,gagné
,Initiative  «Contre les mauvais traitements envers les animaux et pour une meilleure protection juridique de ces derniers»,"29,5%","70,5%",non,non,gagné,oui,perdu,non,gagné,non,gagné,oui,perdu,non,gagné,oui,perdu,non,gagné
,"Loi fédérale sur la prévoyance professionnelle vieillesse, survivants et invalidité (LPP) (Taux de conversion minimal)","27,3%","72,7%",non,oui,perdu,non,gagné,oui,perdu,oui,perdu,oui,perdu,oui,perdu,non,gagné,oui,perdu
,Loi fédérale sur l'assurance-chômage obligatoire et l'indemnité en cas d'insolvabilité,"53,4%","46,6%",oui,oui,gagné,non,perdu,oui,gagné,oui,gagné,oui,gagné,oui,gagné,non,perdu,oui,gagné
,Initiative  «Pour le renvoi des étrangers criminels»,"52,9%","47,1%",oui,non,perdu,non,perdu,non,perdu,oui,gagné,non,perdu,non,perdu,non,perdu,non,perdu
,Arrêté fédéral concernant l'expulsion et le renvoi des criminels étrangers dans le respect de la Constitution (contre-projet à l'initiative sur le renvoi),"45,8%","54,2%",non,oui,perdu,non,gagné,oui,perdu,non,gagné,oui,perdu,oui,perdu,non,gagné,oui,perdu
,Initiative «Pour des impôts équitables. Stop aux abus de la concurrence fiscale»,"41,5%","58,5%",non,non,gagné,oui,perdu,non,gagné,non,gagné,non,gagné,non,gagné,oui,perdu,non,gagné
2011,Initiative «Pour la protection face à la violence des armes»,"43,7%","56,3%",non,non,gagné,oui,perdu,non,gagné,non,gagné,oui,perdu,non,gagné,oui,perdu,non,gagné
2012,"Initiative ""Pour en finir avec les construction envahissantes des résidences secondaires"".","50,6%","49,4%",oui,non,perdu,oui,gagné,non,perdu,non,perdu,non,perdu,non,perdu,oui,gagné,non,perdu
,Initiative sur l'épargne-logement,"44,2%","55,8%",non,oui,perdu,non,gagné,oui,perdu,oui,perdu,non,gagné,oui,perdu,non,gagné,non,gagné
